,2015,2016,2017,Region
Spain,38026.0,33050.0,35354.0,0_Spain
Italy,4811.0,4973.0,6309.0,1_Europe_West
China,3091.0,2959.0,3299.0,5_Asia_Pacific
Colombia,1971.0,2551.0,3255.0,3_Latin_Am
Venezuela,1571.0,2050.0,3021.0,3_Latin_Am
Pakistan,3708.0,3032.0,2967.0,6_Asia_West
Honduras,1880.0,2087.0,2767.0,3_Latin_Am
France,2176.0,2263.0,2670.0,1_Europe_West
Peru,1416.0,1609.0,2473.0,3_Latin_Am
Morocco,1934.0,1709.0,1931.0,7_CAF_Others
Argentina,1208.0,1299.0,1885.0,3_Latin_Am
Brasil,1410.0,1512.0,1757.0,3_Latin_Am
United States,1128.0,1274.0,1507.0,4_Anglofone
United Kingdom,1112.0,1166.0,1459.0,4_Anglofone
India,1371.0,1272.0,1441.0,6_Asia_West
Ecuador,1335.0,1289.0,1432.0,3_Latin_Am
Russia,1322.0,1279.0,1299.0,1_Europe_West
Germany,980.0,989.0,1240.0,1_Europe_West
Dominican Republic,1117.0,1178.0,1196.0,3_Latin_Am
Mexico,1119.0,1060.0,1153.0,3_Latin_Am
Romania,1074.0,917.0,1076.0,2_Europe_East
Chile,754.0,837.0,1072.0,3_Latin_Am
Bolivia,1147.0,1007.0,1051.0,3_Latin_Am
Portugal,741.0,841.0,962.0,1_Europe_West
Ukraine,1033.0,887.0,894.0,2_Europe_East
Bangladesh,593.0,623.0,815.0,6_Asia_West
Philippines,769.0,694.0,780.0,5_Asia_Pacific
Paraguay,609.0,801.0,763.0,3_Latin_Am
Georgia,485.0,534.0,641.0,2_Europe_East
Netherlands,491.0,508.0,561.0,1_Europe_West
Cuba,417.0,359.0,491.0,3_Latin_Am
Poland,421.0,444.0,489.0,2_Europe_East
El Salvador,281.0,355.0,452.0,3_Latin_Am
Turkey,258.0,319.0,446.0,6_Asia_West
Iran,121.0,187.0,401.0,6_Asia_West
Japan,335.0,289.0,339.0,5_Asia_Pacific
Uruguay,216.0,225.0,329.0,3_Latin_Am
Sweden,299.0,291.0,302.0,1_Europe_West
Nepal,170.0,221.0,285.0,6_Asia_West
Armenia,243.0,225.0,274.0,2_Europe_East
Belgium,277.0,241.0,273.0,1_Europe_West
Algeria,292.0,221.0,265.0,7_CAF_Others
Bulgaria,282.0,292.0,265.0,2_Europe_East
South Korea,198.0,204.0,230.0,5_Asia_Pacific
Nicaragua,165.0,184.0,221.0,3_Latin_Am
Canada,175.0,195.0,197.0,4_Anglofone
Senegal,183.0,203.0,195.0,7_CAF_Others
Switzerland,153.0,154.0,194.0,1_Europe_West
Greece,182.0,195.0,192.0,2_Europe_East
Ireland,159.0,148.0,192.0,1_Europe_West
Costa Rica,130.0,199.0,190.0,3_Latin_Am
Hungary,195.0,165.0,176.0,2_Europe_East
Egypt,165.0,180.0,162.0,7_CAF_Others
Panama,92.0,143.0,149.0,3_Latin_Am
Lebanon,89.0,141.0,145.0,6_Asia_West
Nigeria,134.0,137.0,137.0,7_CAF_Others
Guatemala,138.0,129.0,135.0,3_Latin_Am
Israel,76.0,94.0,134.0,7_CAF_Others
Austria,116.0,114.0,126.0,1_Europe_West
Denmark,91.0,115.0,125.0,1_Europe_West
Kazakhstan,128.0,138.0,123.0,6_Asia_West
Finland,97.0,98.0,123.0,1_Europe_West
Lithuania,83.0,93.0,119.0,2_Europe_East
Syria,150.0,123.0,115.0,6_Asia_West
Vietnam,36.0,60.0,107.0,5_Asia_Pacific
Albania,63.0,73.0,98.0,2_Europe_East
Belarus,74.0,104.0,97.0,2_Europe_East
Australia,82.0,110.0,91.0,4_Anglofone
Croatia,57.0,79.0,89.0,2_Europe_East
Czech Republic,85.0,84.0,89.0,2_Europe_East
Equatorial Guinea,47.0,83.0,85.0,7_CAF_Others
Serbia,76.0,70.0,82.0,2_Europe_East
Slovakia,59.0,64.0,76.0,2_Europe_East
Norway,84.0,72.0,75.0,1_Europe_West
Tunisia,34.0,43.0,72.0,7_CAF_Others
Ghana,80.0,60.0,64.0,7_CAF_Others
Latvia,72.0,46.0,60.0,2_Europe_East
Moldova,76.0,66.0,59.0,2_Europe_East
Andorra,71.0,69.0,51.0,1_Europe_West
No information,65.0,40.0,45.0,7_CAF_Others
South Africa,31.0,43.0,44.0,4_Anglofone
Gambia,49.0,37.0,43.0,7_CAF_Others
Slovenia,43.0,34.0,43.0,2_Europe_East
Camerun,42.0,37.0,42.0,7_CAF_Others
Indonesia,26.0,26.0,40.0,5_Asia_Pacific
Jordan,40.0,27.0,39.0,6_Asia_West
Azerbaijan,46.0,36.0,39.0,6_Asia_West
Estonia,38.0,40.0,37.0,1_Europe_West
Iraq,24.0,31.0,35.0,6_Asia_West
Guinea,101.0,28.0,35.0,7_CAF_Others
Saudi Arabia,41.0,39.0,34.0,6_Asia_West
State of Palestine,0.0,24.0,31.0,6_Asia_West
Uzbekistan,11.0,23.0,30.0,6_Asia_West
Cyprus,22.0,25.0,27.0,6_Asia_West
Iceland,34.0,31.0,26.0,1_Europe_West
Libya,51.0,31.0,24.0,6_Asia_West
Thailand,24.0,36.0,23.0,5_Asia_Pacific
New Zealand,16.0,24.0,22.0,4_Anglofone
Mali,36.0,18.0,22.0,7_CAF_Others
Afghanistan,20.0,20.0,21.0,6_Asia_West
Macedonia,16.0,20.0,20.0,2_Europe_East
Malaysia,13.0,22.0,19.0,5_Asia_Pacific
Ivory Coast,10.0,18.0,19.0,7_CAF_Others
Kenya,17.0,18.0,19.0,7_CAF_Others
Angola,10.0,7.0,19.0,7_CAF_Others
Mongolia,12.0,9.0,18.0,5_Asia_Pacific
Singapore,19.0,9.0,17.0,5_Asia_Pacific
Bosnia and Herzegovina,17.0,10.0,17.0,2_Europe_East
Luxembourg,4.0,10.0,15.0,1_Europe_West
Sudan,3.0,4.0,14.0,7_CAF_Others
Guinea-Bissau,13.0,10.0,13.0,7_CAF_Others
Tanzania,4.0,9.0,13.0,7_CAF_Others
Kyrgyzstan,10.0,8.0,12.0,6_Asia_West
Dominica,3.0,14.0,12.0,7_CAF_Others
Mauritania,29.0,17.0,11.0,7_CAF_Others
Congo,7.0,7.0,11.0,7_CAF_Others
Malta,8.0,7.0,10.0,1_Europe_West
Kuwait,4.0,9.0,10.0,6_Asia_West
Montenegro,10.0,10.0,9.0,2_Europe_East
Mozambique,8.0,8.0,8.0,7_CAF_Others
Uganda,3.0,4.0,7.0,7_CAF_Others
Benin,3.0,4.0,6.0,7_CAF_Others
Myanmar,0.0,2.0,6.0,5_Asia_Pacific
Haiti,9.0,8.0,6.0,3_Latin_Am
Trinidad and Tobago,1.0,4.0,6.0,7_CAF_Others
Ethiopia,3.0,4.0,5.0,7_CAF_Others
Sierra Leone,1.0,6.0,5.0,3_Latin_Am
Sri Lanka,5.0,10.0,5.0,6_Asia_West
Mauritius,2.0,2.0,5.0,7_CAF_Others
Qatar,3.0,9.0,5.0,6_Asia_West
Namibia,1.0,0.0,5.0,7_CAF_Others
Cambodja,1.0,0.0,4.0,5_Asia_Pacific
Eritrea,0.0,0.0,4.0,7_CAF_Others
Togo,3.0,1.0,4.0,7_CAF_Others
Burkina Faso,4.0,4.0,4.0,7_CAF_Others
Turkmenistan,5.0,5.0,4.0,6_Asia_West
United Arab Emirates,0.0,4.0,4.0,6_Asia_West
Malawi,0.0,0.0,4.0,7_CAF_Others
Chad,0.0,0.0,3.0,7_CAF_Others
Zimbabwe,4.0,4.0,3.0,7_CAF_Others
Somalia,3.0,9.0,2.0,7_CAF_Others
Jamaica,3.0,3.0,2.0,3_Latin_Am
Botswana,0.0,0.0,2.0,7_CAF_Others
Madagascar,3.0,3.0,2.0,7_CAF_Others
Gabon,2.0,4.0,2.0,7_CAF_Others
Niger,0.0,1.0,2.0,7_CAF_Others
Yemen,3.0,1.0,2.0,7_CAF_Others
Zambia,0.0,2.0,2.0,7_CAF_Others
The Bahamas,0.0,1.0,2.0,3_Latin_Am
Barbados,1.0,1.0,1.0,3_Latin_Am
São Tomé and Príncipe,0.0,1.0,1.0,7_CAF_Others
Bahrain,1.0,14.0,1.0,6_Asia_West
Antigua and Barbuda,0.0,0.0,1.0,3_Latin_Am
Maldives,1.0,1.0,1.0,6_Asia_West
Cape Verde,2.0,4.0,1.0,7_CAF_Others
Grenada,1.0,0.0,1.0,3_Latin_Am
Laos,0.0,0.0,1.0,5_Asia_Pacific
Solomon Islands,0.0,0.0,1.0,5_Asia_Pacific
Oman,1.0,8.0,1.0,6_Asia_West
Taiwan,1.0,0.0,0.0,5_Asia_Pacific
Palestinian territories,37.0,0.0,0.0,6_Asia_West
Saint Kitts and Nevis,1.0,1.0,0.0,3_Latin_Am
San Marino,0.0,1.0,0.0,1_Europe_West
Seychelles,1.0,1.0,0.0,7_CAF_Others
Puerto Rico,0.0,1.0,0.0,3_Latin_Am
East Timor,0.0,1.0,0.0,5_Asia_Pacific
Djibouti,1.0,0.0,0.0,7_CAF_Others
Tajikistan,0.0,1.0,0.0,6_Asia_West
Lesotho,0.0,1.0,0.0,7_CAF_Others
Liberia,0.0,1.0,0.0,7_CAF_Others
Burundi,1.0,4.0,0.0,7_CAF_Others
Suriname,0.0,1.0,0.0,3_Latin_Am
Swaziland,1.0,0.0,0.0,7_CAF_Others
Central African Republic,2.0,2.0,0.0,7_CAF_Others
Rwanda,2.0,1.0,0.0,7_CAF_Others
North Korea,0.0,1.0,0.0,5_Asia_Pacific
Guyana,0.0,1.0,0.0,3_Latin_Am
