,2015,2016,2017
Spain,38026.0,33050.0,35354.0
Italy,4811.0,4973.0,6309.0
China,3091.0,2959.0,3299.0
Colombia,1971.0,2551.0,3255.0
Venezuela,1571.0,2050.0,3021.0
Pakistan,3708.0,3032.0,2967.0
Honduras,1880.0,2087.0,2767.0
France,2176.0,2263.0,2670.0
Peru,1416.0,1609.0,2473.0
Morocco,1934.0,1709.0,1931.0
Argentina,1208.0,1299.0,1885.0
Brasil,1410.0,1512.0,1757.0
United States,1128.0,1274.0,1507.0
United Kingdom,1112.0,1166.0,1459.0
India,1371.0,1272.0,1441.0
Ecuador,1335.0,1289.0,1432.0
Russia,1322.0,1279.0,1299.0
Germany,980.0,989.0,1240.0
Dominican Republic,1117.0,1178.0,1196.0
Mexico,1119.0,1060.0,1153.0
Romania,1074.0,917.0,1076.0
Chile,754.0,837.0,1072.0
Bolivia,1147.0,1007.0,1051.0
Portugal,741.0,841.0,962.0
Ukraine,1033.0,887.0,894.0
Bangladesh,593.0,623.0,815.0
Philippines,769.0,694.0,780.0
Paraguay,609.0,801.0,763.0
Georgia,485.0,534.0,641.0
Netherlands,491.0,508.0,561.0
Cuba,417.0,359.0,491.0
Poland,421.0,444.0,489.0
El Salvador,281.0,355.0,452.0
Turkey,258.0,319.0,446.0
Iran,121.0,187.0,401.0
Japan,335.0,289.0,339.0
Uruguay,216.0,225.0,329.0
Sweden,299.0,291.0,302.0
Nepal,170.0,221.0,285.0
Armenia,243.0,225.0,274.0
Belgium,277.0,241.0,273.0
Algeria,292.0,221.0,265.0
Bulgaria,282.0,292.0,265.0
South Korea,198.0,204.0,230.0
Nicaragua,165.0,184.0,221.0
Canada,175.0,195.0,197.0
Senegal,183.0,203.0,195.0
Switzerland,153.0,154.0,194.0
Greece,182.0,195.0,192.0
Ireland,159.0,148.0,192.0
Costa Rica,130.0,199.0,190.0
Hungary,195.0,165.0,176.0
Egypt,165.0,180.0,162.0
Panama,92.0,143.0,149.0
Lebanon,89.0,141.0,145.0
Nigeria,134.0,137.0,137.0
Guatemala,138.0,129.0,135.0
Israel,76.0,94.0,134.0
Austria,116.0,114.0,126.0
Denmark,91.0,115.0,125.0
Kazakhstan,128.0,138.0,123.0
Finland,97.0,98.0,123.0
Lithuania,83.0,93.0,119.0
Syria,150.0,123.0,115.0
Vietnam,36.0,60.0,107.0
Albania,63.0,73.0,98.0
Belarus,74.0,104.0,97.0
Australia,82.0,110.0,91.0
Croatia,57.0,79.0,89.0
Czech Republic,85.0,84.0,89.0
Equatorial Guinea,47.0,83.0,85.0
Serbia,76.0,70.0,82.0
Slovakia,59.0,64.0,76.0
Norway,84.0,72.0,75.0
Tunisia,34.0,43.0,72.0
Ghana,80.0,60.0,64.0
Latvia,72.0,46.0,60.0
Moldova,76.0,66.0,59.0
Andorra,71.0,69.0,51.0
No information,65.0,40.0,45.0
South Africa,31.0,43.0,44.0
Gambia,49.0,37.0,43.0
Slovenia,43.0,34.0,43.0
Camerun,42.0,37.0,42.0
Indonesia,26.0,26.0,40.0
Jordan,40.0,27.0,39.0
Azerbaijan,46.0,36.0,39.0
Estonia,38.0,40.0,37.0
Iraq,24.0,31.0,35.0
Guinea,101.0,28.0,35.0
Saudi Arabia,41.0,39.0,34.0
State of Palestine,0.0,24.0,31.0
Uzbekistan,11.0,23.0,30.0
Cyprus,22.0,25.0,27.0
Iceland,34.0,31.0,26.0
Libya,51.0,31.0,24.0
Thailand,24.0,36.0,23.0
New Zealand,16.0,24.0,22.0
Mali,36.0,18.0,22.0
Afghanistan,20.0,20.0,21.0
Macedonia,16.0,20.0,20.0
Malaysia,13.0,22.0,19.0
Ivory Coast,10.0,18.0,19.0
Kenya,17.0,18.0,19.0
Angola,10.0,7.0,19.0
Mongolia,12.0,9.0,18.0
Singapore,19.0,9.0,17.0
Bosnia and Herzegovina,17.0,10.0,17.0
Luxembourg,4.0,10.0,15.0
Sudan,3.0,4.0,14.0
