District Code,District Name,Gender,2013,2014,2015,2016,2017
1,Ciutat Vella,Female,965.2,911.4,534.3,491.2,469.3
1,Ciutat Vella,Male,1352.4,1246.9,706.7,637.1,583.8
2,Eixample,Female,1329.0,1226.2,694.7,627.8,583.7
2,Eixample,Male,1242.2,1132.6,628.0,549.7,501.8
3,Sants-Montjuïc,Female,815.6,790.7,456.9,416.1,385.9
3,Sants-Montjuïc,Male,830.9,779.6,428.4,369.0,327.9
4,Les Corts,Female,774.1,732.6,429.3,387.1,351.3
4,Les Corts,Male,684.4,644.4,361.2,313.1,277.4
5,Sarrià-Sant Gervasi,Female,495.5,449.2,251.3,226.3,205.7
5,Sarrià-Sant Gervasi,Male,411.1,375.3,205.3,182.3,167.2
6,Gràcia,Female,775.3,712.2,406.4,368.1,346.2
6,Gràcia,Male,710.4,642.8,356.7,311.2,276.8
7,Horta-Guinardó,Female,552.9,521.6,297.0,273.7,257.0
7,Horta-Guinardó,Male,548.7,505.2,271.8,234.3,207.5
8,Nou Barris,Female,533.9,512.8,297.8,276.5,263.9
8,Nou Barris,Male,604.8,561.2,296.5,253.5,221.9
9,Sant Andreu,Female,813.8,789.8,456.5,412.4,383.0
9,Sant Andreu,Male,790.8,717.8,399.2,340.4,295.3
10,Sant Martí,Female,879.4,837.7,473.8,435.9,408.8
10,Sant Martí,Male,887.0,807.4,444.7,383.3,347.5
