,Age,Transmigration Type,2015,2016,2017,2018,2019,2020
0, >=100,Immigrants,10,6,4,0.67,0.0,0.0
1, >=100,Emigrants,17,8,9,3.33,0.0,0.0
2, 95-99,Immigrants,55,46,55,52.0,52.0,52.0
3, 95-99,Emigrants,126,98,131,123.33,125.83,128.33
4, 90-94,Immigrants,228,177,219,199.0,194.5,190.0
5, 90-94,Emigrants,519,454,424,370.67,323.17,275.67
6, 85-89,Immigrants,489,367,393,320.33,272.33,224.33
7, 85-89,Emigrants,865,817,756,703.67,649.17,594.67
8, 80-84,Immigrants,581,489,544,501.0,482.5,464.0
9, 80-84,Emigrants,899,796,761,680.67,611.67,542.67
10, 75-79,Immigrants,609,599,596,588.33,581.83,575.33
11, 75-79,Emigrants,755,695,702,664.33,637.83,611.33
12, 70-74,Immigrants,925,814,939,906.67,913.67,920.67
13, 70-74,Emigrants,921,898,1072,1114.67,1190.17,1265.67
14, 65-69,Immigrants,1385,1271,1424,1399.0,1418.5,1438.0
15, 65-69,Emigrants,1453,1395,1494,1488.33,1508.83,1529.33
16, 60-64,Immigrants,1833,1613,1948,1913.0,1970.5,2028.0
17, 60-64,Emigrants,1581,1525,1648,1651.67,1685.17,1718.67
18, 55-59,Immigrants,2499,2187,2454,2335.0,2312.5,2290.0
19, 55-59,Emigrants,1817,1871,1898,1943.0,1983.5,2024.0
20, 50-54,Immigrants,3481,2998,3516,3366.67,3384.17,3401.67
21, 50-54,Emigrants,2555,2343,2619,2569.67,2601.67,2633.67
22, 45-49,Immigrants,4754,4026,4565,4259.33,4164.83,4070.33
23, 45-49,Emigrants,3393,3284,3314,3251.33,3211.83,3172.33
24, 40-44,Immigrants,6895,6034,6846,6542.67,6518.17,6493.67
25, 40-44,Emigrants,5424,4862,5041,4726.0,4534.5,4343.0
26, 35-39,Immigrants,10290,9237,10265,9905.67,9893.17,9880.67
27, 35-39,Emigrants,7554,6618,6839,6288.67,5931.17,5573.67
28, 30-34,Immigrants,14531,13504,15602,15616.67,16152.17,16687.67
29, 30-34,Emigrants,8412,7585,7757,7263.0,6935.5,6608.0
30, 25-29,Immigrants,17618,17672,21319,22570.67,24421.17,26271.67
31, 25-29,Emigrants,6531,6225,6619,6546.33,6590.33,6634.33
32, 20-24,Immigrants,10263,10906,12911,14008.0,15332.0,16656.0
33, 20-24,Emigrants,3228,3168,3422,3466.67,3563.67,3660.67
34, 15-19,Immigrants,3664,4145,4545,4999.0,5439.5,5880.0
35, 15-19,Emigrants,1608,1587,1710,1737.0,1788.0,1839.0
36, 10-14,Immigrants,2590,2655,2630,2665.0,2685.0,2705.0
37, 10-14,Emigrants,1513,1434,1480,1442.67,1426.17,1409.67
38, 05-09,Immigrants,2723,2651,2684,2647.0,2627.5,2608.0
39, 05-09,Emigrants,2108,1827,1845,1663.67,1532.17,1400.67
40, 00-04,Immigrants,3559,3775,3868,4043.0,4197.5,4352.0
41, 00-04,Emigrants,2830,2784,3111,3189.33,3329.83,3470.33
